abbr,en,ko
GNS,Global navigation system,지구 전역 항법시스템
GNSS,Global navigation satellite system,지구전역 항법위성체계
GNU,Gnss navigation unit,GNSS 항법 장비
GO,General offices,
GO,General order,
GO,Geometric optics,기하학적 광학
GO,Go around,복행(재착륙 절차에 대한)
GO,Go show passenger,좌석대기 여객
GO,Go-around,착륙 복행
GOCO,God’s eye View God’s eye View,
GOCO,"Government-owned, contractor-operated",
GOE,Government of egypt,
GOE,Government-owned equipment,
GOE,Ground operating equipment,지상 작동 장비
GOF,Government-owned facilities,
GOG,Goggles,보호 안경
GOG,Government of greece,
GOGO,"Government-owned, government-operated",
GOI,Government of israel,
GOIFE,Government of israel furnished equipment,
GOM,Government-owned material,
GONPEC,General office new product evaluation committee,
GOR,General operating requirement,일반 작전 (운영) 요구
GOSG,General office steering group,
GOSIP,Government open systems interconnection profile,
GOST,Gouge,가우지
GOST,Government-owned special tooling,
Gov,Governed Coupler,조속형 커플러
Gov,Governor,조속기
Gov,Governor Pitch Control,조속기 피치 제어
Govg,Governing,
Govt,Government,
GOX,Gaseous oxygen,
GP,General purpose,일반 목적
GP,Glide path,활공 경로
GP,Government property,정부자산
GP,Ground pneumatic,
GP,Group,
GPA,Gain programmable amplifier,
GPA,Gas processors association,
GPAE,General-purpose aerospace equipment,
GPALS,Global protection against limited strikes,한정적 공격에 대한 전지구적 방위
GPATE,General-purpose automatic test equipment,
GPB,Genernal purpose bomb,다용도 폭탄
GPB,Ground power breaker,지상동력 차단기
GPC,Government procurement code,정부 구매 부호
GPCU,Ground power control unit,지상 동력 제어 장치
GPES,Ground proximity extraction system,
GPFH,Gallons per flight hour,비행 시간당 갈론
GPGS,Ground power generator system,
Gph,Gallons per hour,
Gph,Graphite,
GPI,General purpose interface,일반목적 접속
GPI,Ground position indicator,지상 위치 지시계
GPIB,General purpose interface bus,
GPM,Gallon per minute,분당 갈론
GPNS,Global positioning navigation system,
GPO,Government printing office,
GPRP,Government production and research property,
GPS,Gallon per second,초당 갈론
GPS,Global Positioning System,위성 항법 장치
GPS,Graphics plotting software,
GPSR,Generic pulsed search radar,
GPT,Glide path tracking,활공 경로 추적
GPT,Guidance position tracking,유도 위치 추적
GPTE,General purpose test equipment,범용 시험 장비
GPU,Ground Power Unit,지상 전원 유니트
GPU,Gun pod unit,
GPVI,Graphics processor video interface,
GPWC,Ground proximity warning computer,지상 접근 경고컴퓨터
GPWS,Ground proximity warning system,지상 접근 경고장치
GQA,Give quick answer,
GR,Gear,
GR,Global register,
GR,Government report,
GR,Grade,
GR,Grain,
GR,Graphics,그래픽
GR,Group,
Grad,Gradient wind,경도풍
Grad,Gradual,
Grad,Graduation,
Grad,Grain,"그레인<추진제>, 입자<금속>"
Graph rec,Graphic,그래픽
Graph rec,Graphic recording (direct inking records),
GRAR,Government report authorization and record,
GRAR,Gravitation,중력
GRAR,Gravitation loss,중력 손실
GRAR,Gravity fuel system,중력식 연료계통
GRAR,Gravity wind,중력풍
GRD,Grease,그리스
GRD,Grease Nipple,그리스 니플
GRD,Great Cirlce Steer(ing),대원 조향
GRD,Green Epoxy,녹색 에폭시
GRD,Ground,
GRD,Gruppe fuer rueslungsdienste (switzerland),
GRD,Guard,
GRFX,Grid generation,격자 생성
GRFX,Grinding fixture,
GRFX,Grip,그립
GRM,Guidance rate measuring,
Grn,Green,
Grom,Grommet,"그로멧, 고무"
Grom,Groove,"그루브, 홈"
Grom,Gross thrust,총추력
Grom,Gross weight,"온무게, 총중량"
Grom,Ground,"접지<전기>, 비행중지"
Grom,Ground Air Pressure Quick Disconnector,지상공압 신속 분리기
Grom,Ground Burst Booster,지상 버스트 부스터
Grom,Ground Cart,지상 카트
Grom,Ground clutter,지면반사 산란
Grom,Ground control,지상 관제
Grom,Ground Crew,지상 승무원
Grom,Ground defueling,지상 배유
Grom,Ground effect,지면 효과
Grom,Ground electrical power,지상 전원
Grom,Ground fare,단체 운임
Grom,Ground handling,지상조업
Grom,Ground handling equipment,지상취급장비
Grom,Ground loop,지상편향(偏向) <이착륙시의  급격한>
Grom,Ground operation,지상 운용
Grom,Ground Point,접지 지점
Grom,Ground power,지상전원
Grom,Ground refueling,지상 재급유
Grom,Ground resonance,지상공진
Grom,Ground Run,지상 활주
Grom,Ground Safety Pin,지상 안전핀
Grom,Ground Service,지상 정비
Grom,Ground speed,대지(對地) 속도
Grom,Ground speed meter,대지(對地) 속도계
Grom,Ground Station,지상 스테이션
Grom,Ground station,지상국
Grom,Ground vibration test,지상 진동시험
Grom,Ground visibility,지상 시정(視程)
Grom,Ground-pitot port,지상 동압포트
Grom,Group,그룹
Grom,Growler,그라울러
GRP,Glass reinforced plastic,유리강화 플라스틱
GRP,Graphic reproduction request,
GRP,Ground relay panel,지상 릴레이판넬
GRs,Government regulations,
GRs,Grease,
Grtg,Grating,
GS,General schedule,
GS,General System,일반 계통
GS,Glide Slope,활공 경사(각)
GS,Government servant,
GS,Ground stabilized,
GS,Ground station,
GS,Guidance station,
"GS(G/S, GND SPD)",Ground speed,"지상 속도, 대지 속도"
GSA,General services administration,일반 조달본부
GSA,"Gunsight, surface-to-air",지대공 조준
GSAP,Gun sight aiming point,기총 조준 탄착점
GSC,Guidance system console,
GSD,General supervisor's directive,
GSE,Government-supplied equipment,
GSE,Ground Support Equipment,지상 지원 장비
GSE/TD,General systems engineering/technical directive,
GSEL,Ground support equipment list,
GSERD,Ground support equipment recommendation data,
GSFC,"Goddard space flight center, greenbelt(NASA) Goddard",우주비행센터
GSFSR,Ground safety and flight safety requirements,지상 및 비행안전 요구
GSI,Government source inspection,
GSIM,Ground simulation,
Gskt,Gasket,
GSM,General System Manual,일반계통 교범
GSNSC,Ground simulation nose surface command,
GSO,General staff officer,
GSR,General Safety Requirement,일반 안전 요구
GSR,Ground-sensing relay,
GSR,Safety Requirement,안전 요구
GSS,Grumman standard specification,
GSSS,Ground support system specification,
GST,Greenwich sidereal time,
GST,Ground special tools,
GSU,General Station Unit,일반 스테이션 유니트
GSU,Ground Station Unit,지상 스테이션 유니트
GSU,Ground support unit,
GSUC,G-suit,내중력(耐重力) 항공복
GSUC,Ground stub-up connection,
GSV,Guided space vehicle,유도 우주비행체
GT,Gas tight,
GT,Greater than,
GT,Greenwich time,그린니치 시간
GT,Ground test,지상 시험
GT,Ground track,지상 추적
GT,Gyro test,자이로 시험
GTACS,Ground-target attack control system,지상표적 공격통제시스템
GTC,Gas turbine compressor,가스터빈 압축기
GTC,Gate time control,게이트시간 조정
GTE,Gageless tool fabrication,
GTE,Gas turbine engine,가스터빈 엔진
GTE,Government testing facilities,
GTE,Ground test equipment,지상시험장비
GTE,Ground test facility,지상시험 시설
GTIS,Government integrated technical information system,
GTO,Geosynchronous transfer orbit,지구 정지 전이궤도
GTP,General test plan,
GTP,Ground track plotter,
GTPI,Generic targeting pod interface,
GTR,Ground test reactor,
GTR,Ground test request,
GTRD,Ground Test Requirement Document,지상 시험 요구(문서)서
GTRI,Georgia tech research institute,조지아 공대 연구소
GTS,Gas turbine starter,가스터빈 시동기
GTS,Guidance test set,
GTT,Glass transition temperature,
GTU,Generic test unit,
GTV,Generator terminal voltage,
GTV,Guided test vehicle,
GTY$,Government then-year dollars,
GTY$,Guard,가드
GUI,Graphical user interface,그래픽 사용자 인터페이스
Guid,Guidance,
Guid,Guidance and control,유도 조종
Guid,Guidance limit,유도 한계
Guid,Guidance system,"유도체계, 유도장치"
Guid,Guide,"가이드, 아내, 안내대"
Guid,Guide bar,가이드(안내) 바
Guid,Guide Bore,가이드(안내) 보어(구멍)
Guid,Guide cam,가이드(안내) 캠
Guid,Guide kit,가이드(안내대) 킷트
Guid,Guide panel,가이드(안내) 패널
Guid,Guide pin,가이드(안내) 핀
Guid,Guide plate,가이드(안내) 판
Guid,Guide Rod,가이드(안내) 로드
Guid,Guide sleeve,가이드(안내) 슬리브
Guid,Guide Tube,가이드(안내) 튜브
Guid,Guide vane,안내 날개
Guid,Guided aircraft missile,항공기용 유도미사일
Guid,Guided missile,유도미사일
Guid,Guided missile launcher rack,유도미사일 발사대 렉
Guid,Gull type wing,갈매기형 날개
Guid,Gun,기총
Guid,Gun adjusting,기총 조절
Guid,Gun aligment,기총 정렬
Guid,Gun aligment equipment,기총 정렬장비
Guid,Gun Ammunition,기총 탄약
Guid,Gun Assembly,기총 조립체
Guid,Gun bore,"기총 내경, 포경"
Guid,Gun boresight,기총 조준선 정렬
Guid,Gun boresight equipment,기총 조준선 정렬 장비
Guid,Gun Boresight Support Structure,기총 정렬 지지 구조
Guid,Gun Bump,기총 범프
Guid,Gun Capacitor,기총 커패시터
Guid,Gun door,기총 도어
Guid,Gun drive assembly,기총 구동 조립체
Guid,Gun drive gearbox,기총 구동 기어박스
Guid,Gun Drive Motor,기총 구동 모터
Guid,Gun drive shaft,기총 구동축
Guid,Gun fire circuit,기총 발사 회로
Guid,Gun Fire Level,기총 사격 수준
Guid,Gun loader,기총 로더(장전기)
Guid,Gun Mode(Submode),기총 모드 (하위모드)
Guid,Gun Port,기총 포트
Guid,Gun receiver,기총 리시버
Guid,Gun Recoil Motion,기총 반동 작용
Guid,Gun sight,사격 조준장치
Guid,Gun Support Provision,기총지지 구조
Guid,Gun Support Structure,기총 지지대 구조
Gun.,Gunner,"사수, 포수"
Gun.,Gunnery,
GUS,Generator underspeed,
GUS,Guaranteed uptime service,
GUS,Gusset,보강판
GUS,Gust,돌풍
GUS,Gust envelope,돌풍영역선도
GUS,Gust load,돌풍하중
GUS,Gust load factor,돌풍 하중계수
GUS,Gust lock,거스트 록
GUS,Gust response,돌풍 응답
GUS,Gust tunnel,돌풍 풍동
GUV,Group unique variable,
GV,General vehicle,
GV,General Vehicle Manual,항공기 일반 교범
GVT,Ground vibration test,지상 진동시험
GW,Gross weight,
GW,Guided weapons,
GWEN,Ground wave emergency network,
GWS,Guided weapons system,유도 무기체계
GX,acceleration in a fore or aft direction equal to the force of gravity,
GXmtr,Guidance transmitter,
Gy,Gray,
Gyro,Gyro,자이로
Gyro,Gyro accuracy,자이로 정확도
Gyro,Gyro compass,회전 나침반
Gyro,Gyro drive,자이로 드라이브
Gyro,Gyro flux-gate compass,자이로 플럭스 게이트나침반
Gyro,Gyro horizon,인공 수평기(水平器)
Gyro,Gyro magnetic,"회전 자기의, 자이로 회전  방식의"
Gyro,Gyro plane,자이로 플레인
Gyro,Gyro turn indicator,자이로 선회계
Gyro,Gyro-magnetic compass,자이로 자기 나침반
Gyro,Gyrocopter,자이로콥터(고속 헬리콥터)
Gyro,Gyrodyne,자이로 다인
Gyro,Gyroscope,"자이로스코프, 회전운동"
Gyro,Gyrosyn compass,자이로신 나침반
GZ,acceleration in a vertical direction equal to the force of gravity,
GZ,Ground zero,낙하점
GZD,Grid zone designation,그리드 구간 지시
H,Blueprint designation for hydraulics,
H,Enthalpy,엔탈피
H,Hard,
H,Hatch altitude,
H,Head,"상부, 전방"
H,Hecto (10,2)
H,Height,고도
H,Henry,
H,Horizontal,수평의
H,Hotel (code),
H,Hour,시간
H,Hydrogen,
H,Total pressure,전압력
H&MS,Headquarters and maintenance squadron,
h',Altitude rate,
H-70,Hydrazine,
H-P,High pressure,고압
H-P,HP Ground Connection,HP 지상연결
H/E,Heat exchanger,열 교환기
H/VV,Hardware,하드웨어
H/VV,Heading/vertical velocity scales,방위/수직 속도 단위
H/VV,Herewith,
HAB,Hahn air base,
HAC,High-acceleration cockpit,
HAC,House appropriations committee,
HAC,Hughes aircraft company,
HACA,Higher altitude control area,고고도 관제 구역
HADB,High-altitude dive bombing,
HADC,"Holloman air development center, NM",
HADS,Helicopter air data system,헬리콥터 대기자료시스템
HADS,High-accuracy digital sensor,고정밀 디지털 센서
HAF,Hellenic air force,
HAFB,Holloman air force base NM(operative),
HAFBT,Holloman air force base test,
HAG,Height above ground,지상 고도
HAHST,High-altitude high-speed target,고고도 고속표적
HAI,Helicopter association international,국제 헬리콥터협회
HAI,Hellenic aerospace industries (greece coproducer),
HAI,Hindustan aeronautics ltd.,인도 Hindustan 항공사
HALE,Half-life,반감기
HALE,"High-altitude, long-endurance",고고도 장거리
HALO,Halongen lamp,할로겐 램프
HALO,Hammer,해머
HALO,Hammer-head stall,실속 반전
HALO,Hand assembly,핸드 조립체
HALO,Hand brake,수동 브레이크
HALO,Hand crank assembly,핸드 클랭크 조립체
HALO,Hand Lotion,핸드 로션
HALO,Hand off,관제이관
HALO,Hand operated,수동 작동식
HALO,Hand valve,수동 밸브
HALO,Handbook,편람
HALO,Handle,핸들 또는 손잡이
HALO,Handling,취급
HALO,Handoff function,이송기능
HALO,Hands-On Control,호타스(HOTAS) 제어
HALO,Hang glider,행글라이더
HALO,Hangar,격납고
HALO,Hangfire,발사 실패
HALO,High altitude low opening,고고도 투하 저고도 개산
HAOA,High angle of attack,"고영각, 높은 받음각"
Hap,Hydraulic and pneumatic,
HARA,Hard dock,기계적 (계기(計器)적) 도킹<우주>
HARA,Hard landing,하드 랜딩
HARA,Hardback,하드백
HARA,Hardener,경화제
HARA,Hardness,경도
HARA,Hardness test,경도 시험
HARA,Hardware,하드웨어
HARA,High-altitude radar altimeter,
HARM,Harmonic distortion,조화 비틀림(변형)
HARM,Harmonic motion,조화 운동<헬리콥터의>
HARM,Harness,
HARM,Harness Shield,하네스 실드
HARM,Harness support,하네스 지지대
HARM,High speed anti radiation missile,
HARM,Homing anti-radiation missile,
HARS,Heading and attitude reference system,기수 및 자세 기준계통
HART,Hot air repair terminal,
HAS,Hardened aircraft shelter,엄체호
HAS,HARM as a sensor,
HAS,Heading and attitude system,기수 및 자세 장치
HAS,Hydraulic actuation system,유압 작동계통
HASC,House armed services committee,
HASDAS,"Hardware test, software development and autotest station",
HASP,Houston automatic spooling program,
HAT,Hatch,해치<출입문>
HAT,Height above target,표적 위 고도
HAT,Height above terrain,지형 위 고도
HATOL,Horizontal-attitude take-off and landing,수평자세 이륙 및 착륙
HATS,Helicopter automatic targeting system,헬리콥터 자동표적시스템
HATS,Hybrid automatic test system,
HAW,Hypersonic aerodynamic weapon,
HAWC,Homing and warning computer,유도 및 경고 컴퓨터
HAWK,Homing-all-the-way killer(SAM) Hawk,(중거리 지대공) 미사일
Haz,Hazard,
Haz,Hazardous Materials,위험물질
Haz,Haze,"연무(煙霧), 실안개"
HAZMAT,Hazardous materials,
HB,Brinell hardness,브리넬 경도
HB,Half-breadth,
HB,High band,광대역
HBO,Height of burst,산개(폭파) 고도
HBPR,High bypass ratio,고 바이패스비
HBR,Has been reviewed,
HBR,Hybrid bistatic radar,
HBRACW,Has been reviewed and concurred with,
HBS,Hot Bench Simulator,
HC,Hand control,
HC,Harzardous code,위험부호
HC,High carbon,고 탄소
HCA,Head of contracting activity,계약책임자
HCB,Hard core base,
HCE,Head control electronics,
HCS,High carbon steel,고 탄소강
HCS,Hydromechanical control system,
HCT,Hole checking template,구멍 검사 템플레이트
HD,Head,
HD,High Drag,고 항력
HD,Honorable discharge,
Hd-Cr,Hard chromium,
HDBK,Handbook,"안내서, 편람"
HDD,Head-Down Display,전방 하향 시현(기)
HDDR,High density digital recording,
HDF,High frequency direction finder,고주파수 방향탐지기
HDG,Heading,"방위, 방향"
Hdg sel,Heading selector,
HDGP,High Drag General,고 항력 일반 목적
HDI,Handle,
HDI,Hyundai heavy industries,
HDLC,High-level data link control,
Hdn,Harden,
HDOP,Horizontal dilution of precision,정밀도 수평 저하
Hdpt,Hardpoint,하드포인트
HDR,Hardware discrepancy report,
Hdst,Headset,
HDTV,High definition television,고화질 TV
Hdwr,Hardware,
HE,Helium,
HE,High explosive,고폭발
HE,Human Engineering,인간공학
He comp,Helium compressor,헬륨 압축기
HE missile,high-energy missile,
He stor,Helium storage,
HE/LS,Head,"헤드, 머리"
HE/LS,Head resistance,전면(前面)저항
HE/LS,Head wind,"정풍, 맞바람"
HE/LS,Header,헤더
HE/LS,Heading,방위
HE/LS,Heading Marker,"방위 마커, 방위 표시"
HE/LS,Headphone,헤드폰
HE/LS,Headset,헤드 세트
HE/LS,Headset-Microphone,헤드세트-마이크로폰
HE/LS,Headwind,"정풍(正風), 맞바람"
HE/LS,Human engineering and life support,
HEAT,Heat barrier,열 차단벽
HEAT,Heat Dissipation,열손실
HEAT,Heat exchanger,열교환기
HEAT,Heat load,열부하
HEAT,Heat of vaporization,기화열
HEAT,Heat Rejection,열배제
HEAT,Heat resistant material,내열재료
HEAT,Heat shield,"열 차폐장치, 단열판"
HEAT,Heat sink,흡열원
HEAT,Heat transfer,열전달
HEAT,Heat treatment,열처리
HEAT,Heater,히터
HEAT,Heating,가열
HEAT,Heating tool,가열 공구
HEAT,Heavy bomber,중(重)폭격기
HEAT,Heavy oil,중유(重油)
HEAT,Hedgehop,초저공 비행
HEAT,High explosive antitank,
HEDS,Human engineering development stand,
HEF,High emergency fuel,고 에너지 연료
HEI,Height,높이
HEI,Height finding radar,고도 탐지레이다
HEI,Height Gauge,높이 게이지
HEI,Height-velocity diagram,고도-속도 관계 선도
HEI,High explosive incendiary,고폭 소이탄
HEIT,High explosive incendiary tracer,고폭 소이 예광탄
HEL,Helicopter,
HEL,Helicopter carrier,헬리콥터 항모
HEL,Helicopter gunship,무장 헬리콥터
HEL,Heliport,"헬리콥터 착륙장, 헬리포트"
HEL,Helmet,헬멧
HEL,Helmet-mounted display,헬멧장착 시현기
HEL,High energy laser,고 에너지 레이져
HEMP,Hourly engine maintenance program,
HEMSE,Hydraulic-electrical-mechanical support equipment,유압-전기-기계 지원장비
HEP,High-explosive plastic,
HEPD,High energy particle detector,고에너지 입자검출기
HERF,Hazards of electromagnetic radiation to full,
HERF,High-energy rate forming,
HERO,Hazards of electromagnetic radiation to ordnance,
HERO,High-explosive radiation operation,
HERP,Hazards of electromagnetic radiation to people,
HES,High-endurance surveillance,
HESH,High-explosive squash-head,
HEX,Hex area,육각형 부위
HEX,Hexadecimal,16진법
HEX,Hexagon,
Hf,Hafnium,
HF,High frequency,(3∼30 MHz) 고 주파수
HF,High Frequency Ripple,고주파 리플
HF,Human factors,인간 요소
HFCCP,High frequency communication control panel,고 주파수 통신제어판넬
HFDP,High Frequency Differential Protection,고주파 차동 보호
HFE,Human factors engineering,인간공학
HFEP,Host-to-host front-end protocol,
HFL,Human factors lab,
HFO,High flow only,
HFO,High-frequency oscillator,
HFP,Host front-end protocol,
HFT,Hot flow test,
HFTE,Human factors test and evaluation,
Hg,Hydrargyrum (mercury),
Hgr,Hangar,
Hgt,Height,
HGV,Hypersonic glide vehicle,
HHA,Health hazard assessment,건강 위험분석
Hhg,Household goods,
HHT,Headquarters and headquarters troop,
HHT,High heat-treat,
Hi,High,
Hi-Fi,High altitude bombing,고공포격
Hi-Fi,High Altitude Safe Separation Times,고 고도 안전 분리 시간
Hi-Fi,High bypass ratio,고(高)바이패스비
Hi-Fi,High cloud,상층운
Hi-Fi,High Compressing spring,고압축 스프링
Hi-Fi,High Explosive,고성능 폭발물
Hi-Fi,High fidelity,고 충실도(수신)
Hi-Fi,High Level,고수준
Hi-Fi,High lift device,고양력장치
Hi-Fi,High pressure,고압
Hi-Fi,High pressure compressors,고압 압축기
Hi-Fi,High pressure turbine,고압터빈
Hi-Fi,High pressure wind tunnel,고압 풍동
Hi-Fi,High Resolution Technique,고해상도 기술
Hi-Fi,High rotor speed rate,로터 고속 속도율
Hi-Fi,High speed approach/quick stop,고속 진입/급정지 착륙
Hi-Fi,High speed steel,고속도강
Hi-Fi,High Strength Steel,고강도 강
Hi-Fi,High temperature belt,고온대
Hi-Fi,High voltage,고전압
Hi-Fi,High wing monoplane,고익 단엽기
Hi-Fi,Highest flow,최대흐름
Hi-Fi,Highlight,하이라이트
Hi-Fi,Hijack,공중 납치
HIAC,High acuity,
HIAD,Handbook of instructions for aircraft designers,항공기설계 지시 핸드북
HIAGSED,Handbook of instructions for aerospace ground support equipment design,
HIAK,Harpoon interface adapter kit,
HIAO,Harpoon interface adapter unit,
HIC,High integrated circuit,고 집적 회로
HICT,H,전시 통합 전투 재출동
HICT,Hiduminium,히듀미늄
HIL,High lift,
Hiltd,Highlighted,
HIMAD,High-to-medium air defense,
HiMAT,Highly maneuverable advanced fighter technology,고기동 최신전투기 기술
HiMAT,Highly maneuverable aircraft technology,
HIMD,Handbook of instructions for missile designers,
HIMOT,High mobility tester,
HIMOT,Hinge,힌지
HIMOT,Hinge moment,힌지 모멘트
HIMOT,Hinge offset,힌지 간격
HIMOT,Hingeless rotor,"무관절형 로터, 힌지없는   로터"
HIPO,Hierarchical plus input-processing-output,
HIS,Hi-shear rivet,고전단 리벳
HIS,Historical Document,이력 기록
HIS,Hitch Pin,히치핀
HIS,Honeywell information system,
HIS,Horizontal Situation Indicator,수평 상황 지시계
HITRRS,Hazard identification tracking and risk reduction system,위험 인식 추적 및 감소시스템
HIWACS,Hazardous in-flight weather advisory service,비행 중 위험 기상 조언 서비스
HL,Hinge line,힌지선
HLAPSD,Handbook of instructions for aerospace personnel subsystem designers,
HLB-ECM,High and low band ECM,
HLD,Head level display,수평 시현 장비
Hld,Hold,
Hldr,Holder,
HLG,High level group,고 수준그룹
Hlge,Handling equipment,
HLL,High-level language,
HLLH,"High, low, low, High (air-to-surface mission)",
HLS,Harm launch scale,
HLU,Hoisting Lifting Unit,호이스팅 인양 유니트
HM,Hazardous material,
HM,Hinge moment,힌지 모멘트
HM,HUD monitor,전방 시현기 모니터
HMC,How Malfunction Code,고장 구분 부호
HMD,Helmet-mounted display,헬멧장착 영상 장비
HMDEU,Helmet-mounted display electronic unit,
HMDS,Helmet-mounted display system,
HMDSG,Helmet-mounted display symbol generator,
HMDSS,Helmet-mounted display and sight system,
HMG,Heavy machine gun,
HMH,Helmet-mounted HUD,헬멧 장착 전방 시현기
HMI,Handbook of maintenance instructions,
HMPC,Hazardous maintenance procedures code,정비 위험도 부호
HMPT,Home point,
HMPT,Homepoint,홈 포인트
HMR,Hazardous material report,
HMS,Helmet mount sight,헬멧 부착 감시 추적장치
Hn,Horn,
Hndbk,Handbook,
HNDF,Handoff,핸드오프
Hnfm,Handform,
HNS,Hexanitro stilbene (explosive),
Ho,Hoar frost,백상(白霜)
Ho,Hoist,
Ho,Holmium,
HOB,Height of burst,폭발 고도
HOC,High oil consumption,고 오일 소모
HOC,Hot on Cool,저온 대비 고온
HOC,Hot-or-cold,뜨거움-차가움
HOF,Hand off,
HOFX,Hoist,호이스트
HOFX,Hoisting,호이스팅
HOFX,Hoisting sling,호이스팅 슬링
HOFX,Holding fixture,
HOJ,Home on jamming,
HOL,High order language,상위수준 언어
Hol,Hold,화물실
Hol,Hold Down,홀드 다운
Hol,Holder,고정기
Hol,Holding,"(공중)대기, 착륙대기"
Hol,Holding area,대기구역
Hol,Holding Block,고정 블럭
Hol,Holding company,지주(持株) 회사
Hol,Holding fuel,공중대기연료
Hol,Holding pattern,공중대기경로
Hol,Holding pattern airspace area,체공선회권
Hol,Hollow,
Hol,Hollow strut,중공 버팀대
Hol,Hollow Type Shaft,중공축
Hom,Home,홈
Hom,Homing,"호밍, 명중"
Hom,Homing device,자동유도장치
Hom,Homing phase,호밍단계
Hom,Homogeneous propellant,균질추진제
Hom,Honeycomb,하니컴
Hom,Honeycomb Core,허니콤 코아
Hom,Honeycomb sandwich structure,하니컴샌드위치구조
Hom,Honeycomb structure,"하니컴구조, 벌집구조"
Hono,Honolulu,
Hono,Hook,갈고리
Hono,Hook-brake,갈고리 제동장치
Hono,Hookup Wire,훅업 와이어
Hono,Hoop Frame,후프 프레임
Hono,Hopper,호퍼
Hor,Horizontal,
Horiz,Horizon,
HORIZ,Horizontal,수평
HORIZ,Horizontal Deconfliction,수평 일치 (거리에 대한)
HORIZ,Horizontal opposed engine,수평대향엔진
HORIZ,Horizontal stabilizer,수평안정판
HORIZ,Horizontal tail,수평꼬리날개
HORIZ,Horn,경음기
HORIZ,Horn balance,돌출평형
HORIZ,Horn Silencer,경적제거기 or 혼 사일런스
HORIZ,Horse shoe vortex,말굽와류
HORIZ,Hose,호스
HOT,Hands on training,호타스 훈련
HOT,Hot and high,고온고지대<이륙활주거리를  길게 하는>
HOT,Hot corrosion,고온 부식
HOT,Hot forming,열간 성형
HOT,Hot Fuel Return,고온 연료 순환
HOT,Hot Fuel Return Line,고온 연료 귀유 (복귀) 라인
HOT,Hot Fuel Return Line Check Valve,고온 연료 귀유(복귀)라인 체크 밸브
HOT,Hot Fuel Return Shotoff Valve,고온 연료 귀유(복귀) 라인 차단 밸브
HOT,Hot horse power,마력
HOT,Hot Light,고온 경보등
HOT,Hot quenching,열간 담금질
HOT,Hot Refueling,엔진 가동중 재급유
HOT,Hot rolling,열간 압연
HOT,Hot Section,고온부
HOT,Hot start,고온 시동
HOT,Hot wire anemometer,열선 풍속계
HOT,Hot working,열간가공
HOTAS,Hands On Throttle And Stick,"호타스, 일체형 조종간"
HOTAS,Housing,하우징
HOTAS,Housing finger,하우징 핑거
HOTAS,Hover,제자리 비행
HOTAS,Hover(ing) ceiling,"제자리 비행, 상승한도"
HOTAS,Hovercraft,호버크라프트
HOTAS,Hovering,제자리 비행
HOW,Hand off word,핸드오프 단어
HP,Hewlett packard,휴렛-팩커드사
HP,High potential,
HP,Horspower,마력
Hp,hr Horsepower hour,
HPA,High-performance amplifier,
HPA,Hydraulic pneumatic area,
HPAIR,High pressure air,고압 공기
HPC,High pressure compressor,고압 압축기
HPCU,Host programmable control unit,
HPD,Hand-held presentation device,
HPD,Hydraulic pump discharge,
HPF,High pressure fuel filter,고압연료필터
HPFM,Hydropress form,
HPGL,Hewlett-packard graphics language,
HPIB,Hewlett-packard interface bus,
HPM,High-powered microwave,
HPM,Host processor module,주처리 모듈
HPO,Hourly postflight inspection,시간제 비행 후 검사
HPOX,High-pressure oxygen service,
HPP,Hydraulic pneumatic panel,유공압 패널
HPT,Hard point,
HPT,High pressure turbine,고 압력 터빈
HQ,Handling quality,조종성
HQ,Have quick HQ,★
HQ,Headquarter,본부
HQ USAF,Headquarters united states air force,
HQDT,Handling qualities during tracking,탐지중 조종특성
HQR,Handling quality ratio,조종성 비율
HQS,Handling quality simulator,조종성 시뮬레이터
HR,Heat resisting,
HR,Historical record,
HR,Homing radar,유도 레이더
Hr,Hour,시간
Hr bd,Harness board,
HRB,Rockwell hardness “b” scale,로크웰 경도 “B” 스케일
HRC,Horizontal redundancy check,
HRC,Rockwell hardness “c” scale 로,크웰 경도 “C” 스케일
HRCN,Historical record change notice,
HRE,Hypersonic ramjet engine,극 초음속 램 제트엔진
HRGM,High-resolution ground map,
HRI,Hazard risk index,위험지수
HRI,Horizontal reference line,수평 기준선
HRI,Human resources laboratory,
HRP,High-rate production,
HRRC,Human resources research center,
HRS,Hour,시간
HRS,Hud rate sensor,
HRT,High-resolution tracker,
HRTO,Hand routing tool,
HRV,Hypersonics research vehicle,극 초음속 탐색 비행체
HS,Head suppression,
HS,High speed,
HS,Horizontal Stabilizer,수평 안정판
HSBR,High-speed bombing radar,
HSC,High-speed controller,
HSC,Home station check,모기지 상태 점검
HSCT,High speed civil transport,초음속 여객기
HSCT,High-speed commercial transport,고속 수송기 (마하 2.2∼5)
HSD,Horizontal Situation Display,수평 상황 시현
HSDB,High Speed Data,고속 자료
HSDB,High-speed data bus,
HSF,Head-steered FLIR,
Hsg,Housing,
HSI,Hardware and software integration,하드웨어 및 소프트웨어 종합
HSI,Hardwired serial interface,
HSI,Horizontal situation indicator,수평 자세 지시기
HSI,Hot section inspection,고온부 점검
HSIA,Horizontal Situation Indicator Afterward,후방석 수평 상황 지시계
HSIF,Horizontal Situation Indicator Forward,전방석 수평 상황 지시계
HSII,"Hughes simulation international, inc.",
Hskpg,Housekeeping,
HSM,Hard structure missile,고 구조 미사일
HSM,High-speed memory,
HSM,Hydraulic start motor,유압 시동모터
